[DEBUGE]|[2024:4:3:13:25] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:13:25] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:13:25] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:13:25] METHOD=PRI,URI=*,VERSION=HTTP/2.0
[DEBUGE]|[2024:4:3:13:25] NOT ALLOW REQUEST
[DEBUGE]|[2024:4:3:13:25] RESPONSE CODE = 400
[DEBUGE]|[2024:4:3:13:25] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:13:25] METHOD=GET,URI=/favicon.ico,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:13:25] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:13:25] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:13:28] GET A NEW LINK SOCK = 4
[WARING]|[2024:4:3:13:29] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:13:36] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:13:36] METHOD=GET,URI=http://uplo.ad/?v=1&ip=8.130.46.184&port=8081,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:13:36] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:13:36] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:14:2] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:14:2] METHOD=GET,URI=/www.example.com,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:14:2] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:14:2] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:14:47] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:14:47] METHOD=GET,URI=/wwwroot,VERSION=HTTP/1.1
[ERROR]|[2024:4:3:14:47] REQUEST RESOURCE NOT EXIST
[DEBUGE]|[2024:4:3:14:47] RESPONSE CODE = 404
[DEBUGE]|[2024:4:3:14:49] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:14:49] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:14:49] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:14:49] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:15:29] GET A NEW LINK SOCK = 5
[DEBUGE]|[2024:4:3:15:29] GET A NEW LINK SOCK = 4
[WARING]|[2024:4:3:15:29] RECV ERROR ,STOP BUILD AND SEND
[WARING]|[2024:4:3:15:29] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:15:52] GET A NEW LINK SOCK = 6
[DEBUGE]|[2024:4:3:15:52] METHOD=CONNECT,URI=185.65.245.140:7227,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:15:52] NOT ALLOW REQUEST
[DEBUGE]|[2024:4:3:15:52] RESPONSE CODE = 400
[DEBUGE]|[2024:4:3:16:14] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:16:14] GET A NEW LINK SOCK = 5
[WARING]|[2024:4:3:16:14] RECV ERROR ,STOP BUILD AND SEND
[WARING]|[2024:4:3:16:14] RECV ERROR ,STOP BUILD AND SEND
[DEBUGE]|[2024:4:3:18:1] GET A NEW LINK SOCK = 6
[DEBUGE]|[2024:4:3:18:1] METHOD=GET,URI=/,VERSION=HTTP/1.1
[DEBUGE]|[2024:4:3:18:1] NOT USE CGI------------------------
[DEBUGE]|[2024:4:3:18:1] RESPONSE CODE = 200
[DEBUGE]|[2024:4:3:18:7] GET A NEW LINK SOCK = 4
[DEBUGE]|[2024:4:3:18:7] METHOD=CONNECT,URI=193.149.189.126:7227,VERSION=HTTP/1.1
